id;Sub category;Questions;Correct answer;A;B;C;;Total :;138
1;Politeness;good;a;dobry;;;;Basis;33
2;Everyday;new;a;nowy;;;;Everyday;12
3;Everyday;old;a;stary;;;;Food;33
4;Food;bread;a;chleb;;;;Places;33
5;Food;butter;a;mas_o;;;;Politeness;27
6;Food;cheese;a;ser;;;;;
7;Food;chicken;a;kurczak;;;;;
8;Food;dessert;a;deser;;;;;
9;Food;dinner;a;obiad;;;;;
10;Food;cabbage;a;kapusta;;;;;
11;Food;mushrooms;a;grzyby;;;;;
12;Food;ice cream;a;lody;;;;;
13;Food;lemon;a;cytryna;;;;;
14;Food;meat;a;mi_so;;;;;
15;Food;oven;a;piekarnik;;;;;
16;Food;sausage;a;kie_basa;;;;;
17;Food;soup;a;zupa;;;;;
18;Food;sugar;a;cukier;;;;;
19;Food;apple;a;jab_ko;;;;;
20;Food;rasberry;a;malina;;;;;
21;Food;garlic;a;czosnek;;;;;
22;Food;onion;a;cebula;;;;;
23;Food;peppers;a;papryka;;;;;
24;Food;tomatoes;a;pomidory;;;;;
25;Places;bathroom;a;_azienka;;;;;
26;Places;pharmacy;a;apteka;;;;;
27;Places;restaurant;a;restauracja;;;;;
28;Places;toilet;a;toaleta;;;;;
29;Places;bank;a;bank;;;;;
30;Places;beach;a;pla_a;;;;;
31;Food;cafe;a;kawiarnia;;;;;
32;Food;flowers;a;kwiaty;;;;;
33;Places;geography;a;geografia;;;;;
34;Places;history;a;historia;;;;;
35;Places;house;a;dom;;;;;
36;Places;lake;a;jezioro;;;;;
37;Places;library;a;biblioteka;;;;;
38;Everyday;science;a;nauka;;;;;
39;Places;sea;a;morze;;;;;
40;Places;swimming pool;a;basen;;;;;
41;Places;theater;a;teatr;;;;;
42;Basis;one;a;jeden;;;;;
43;Basis;two;a;dwa;;;;;
44;Basis;three;a;trzy;;;;;
45;Basis;four;a;cztery;;;;;
46;Basis;five;a;pi__;;;;;
47;Basis;six;a;sze__;;;;;
48;Basis;seven;a;siedem;;;;;
49;Basis;eight;a;osiem;;;;;
50;Basis;nine;a;dziewi__;;;;;
51;Basis;ten;a;dziesi__;;;;;
52;Basis;hundred;a;sto;;;;;
53;Basis;one thousand;a;tysi_c;;;;;
54;Basis;million;a;milion;;;;;
55;Places;bathroom;a;_azienka;;;;;
56;Places;house ;a;dom;;;;;
57;Places;restaurant;a;restauracja;;;;;
58;Places;pharmacy;a;apteka;;;;;
59;Places;river;a;rzeka;;;;;
60;Places;garden;a;ogród;;;;;
61;Places;lake;a;jezioro;;;;;
62;Food;cream;a;_mietana;;;;;
63;Politeness;Yes;a;Tak;;;;;
64;Politeness;Yes, please;a;Tak, poprosz_;;;;;
65;Politeness;No;a;Nie;;;;;
66;Politeness;No, thanks;a;Nie, dzi_kuj_;;;;;
67;Politeness;Fine;a;Dobrze;;;;;
68;Politeness;Okay;a;Okej;;;;;
69;Politeness;Maybe;a;Mo_e;;;;;
70;Politeness;I don’t know.;a;Nie wiem.;;;;;
71;Politeness;Of course.;a;Oczywi_cie.;;;;;
72;Politeness;Great!;a;_wietnie!;;;;;
73;Everyday;right;a;prawo;;;;;
74;Everyday;left;a;lewo;;;;;
75;Basis;English;a;angielsku;;;;;
76;Basis;Polish;a;polsku;;;;;
77;Basis;Spanish;a;hiszpa_sku;;;;;
78;Basis;German;a;niemiecku;;;;;
79;Basis;French;a;francusku;;;;;
80;Politeness;enjoy your meal;a;Smacznego;;;;;
81;Food;water;a;wody;;;;;
82;Everyday;ticket;a;bilet;;;;;
83;Politeness;sorry;a;Przepraszam;;;;;
84;Politeness;thank you;a;Dzi_kuj_ ;;;;;
85;Politeness;please;a;prosz_;;;;;
86;Politeness;you're welcome;a;prosz_;;;;;
87;Politeness;thanks;a;dzi_ki;;;;;
88;Politeness;goodbye;a;do widzenia;;;;;
89;Politeness;good night;a;dobranoc;;;;;
90;Politeness;hi;a;cze__;;;;;
91;Politeness;good evening;a;dobry wieczór;;;;;
92;Politeness;good morning;a;dzie_ dobry;;;;;
93;Everyday;next station;a;nast_pna stacja;;;;;
94;Places;bakery;a;piekarnia;;;;;
95;Politeness;very;a;bardzo;;;;;
96;Everyday;caution;a;uwaga;;;;;
97;Places;central station;a;dworzec centralny;;;;;
98;Food;apple juice;a;sok jab_kowy;;;;;
99;Everyday;new world;a;nowy _wiat;;;;;
100;Places;castle;a;zamek;;;;;
101;Everyday;COVID-19 test;a;badania na COVID-19;;;;;
102;Everyday;national;a;narodowe;;;;;
103;Places;hospital;a;szpital;;;;;
104;Politeness;welcome;a;witamy;;;;;
105;Everyday;lift;a;winda;;;;;
106;Food;mint;a;mieta;;;;;
107;Food;lemon;a;cytryna;;;;;
108;Basis;tree;a;arbuza;;;;;
109;Basis;day;a;dni;;;;;
110;Basis;hour;a;godzina;;;;;
111;Places;store;a;sklep;;;;;
112;Politeness;I am ;a;jestem;;;;;
113;Politeness;I don't speak polish;a;Nie mówi_ po polsku.;;;;;
114;Politeness;I speak English;a;Mówi_ po angielsku;;;;;
115;Food;beer;a;piwo;;;;;
116;Food;wine;a;wino;;;;;
117;Food;dumpling;a;pierogi;;;;;
118;Food;vodka;a;vodka;;;;;
119;Food;honey;a;miód;;;;;
120;Places;street;a;ulica;;;;;
121;Places;avenue;a;aleja;;;;;
122;Places;monument;a;pomnik;;;;;
123;Places;palace;a;pa_ac;;;;;
124;Places;traffic circle;a;rondo;;;;;
125;Places;main station;a;dworzec g_ówny;;;;;
126;Places;station;a;stacja;;;;;
127;Basis;February;a;Luty;;;;;
128;Basis;March;a;Marzec;;;;;
129;Basis;April;a;Kwiecie_;;;;;
130;Basis;May;a;Maj;;;;;
131;Basis;June;a;Czerwiec;;;;;
132;Basis;Monday;a;poniedzia_ek;;;;;
133;Basis;Tuesday;a;wtorek;;;;;
134;Basis;Wednesday;a;_roda;;;;;
135;Basis;Thursday;a;czwartek;;;;;
136;Basis;Friday;a;pi_tek ;;;;;
137;Basis;Staturday;a;sobota;;;;;
138;Basis;Sunday;a;niedziela;;;;;
139;Food;coffee;a;??;;;;;