id;Difficulty;Category;Questions;A;B;C;Correct answer;;
140;1;Geography;What is the capital of Poland ?;Warsaw;Krakow;Gdansk;a;;https://en.wikipedia.org/wiki/Warsaw
141;;Geography;Where is Gdansk ? ;In the north of Warsaw;In the south of Warsaw;In the east of Warsaw;a;;
142;;Geography;Where is Białystok ? ;In the west of Warsaw;In the south of Warsaw;In the east of Warsaw;c;;
143;;Geography;Where is Torun ? ;In the west of Warsaw;In the south of Warsaw;In the east of Warsaw;a;;
144;;Geography;Where is Lublin ? ;In the north of Warsaw;In the south of Warsaw;In the east of Warsaw;b;;
145;;Geography;Where is Poznań ? ;In the west of Warsaw;In the south of Warsaw;In the east of Warsaw;a;;
146;;Geography;Where is Kraków ? ;In the north of Warsaw;In the south of Warsaw;In the east of Warsaw;b;;
147;;Geography;Where is Zakopane ?;In the west of Warsaw;In the south of Warsaw;In the east of Warsaw;a;;
148;;Geography;Where is Wroclaw ? ;In the west of Warsaw;In the north of Warsaw;In the east of Warsaw;a;;
149;;Geography;Where is Łódź ? ;In the west of Warsaw;In the north of Warsaw;In the east of Warsaw;a;;
150;;Geography;What is the region of Warsaw ?;;;;;;
151;;Geography;What is the region of Kraków ?;;;;;;
152;;Geography;What is the region of Wroclaw ?;;;;;;
153;;Geography;What is the region of Poznan ?;;;;;;
154;;Geography;What is the region of Gdansk ?;;;;;;
155;;Geography;How many metro are there in Warsaw ?;1;2;3;b;;
156;;Geography;How many trawmay lines are there in Warsaw ?;20;40;60;b;;
157;;Geography;How many metro stations are there in Warsaw ?;20;30;40;b;;
158;;Geography;How many inhabitants live in Warsaw ?;1.23;1.76;1.96;b;;
159;;;What is the approximately exchange rate PLN/EUR ?;;;;;;
160;;;How many countries share a border with Poland ?;;;;;;
161;;;Who is not Polish ?;;;;;;
162;;;When did the Nazi invaded Poland ?;1939;1940;1941;;;
163;;;When started the Warsaw uprising ?;;;;;;
164;;;Which park used to be an airport ?;;;;;;
165;;;When SGH was founded ?;;;;;;
166;;;What SGH means ? ;;;;;;
167;;;How many Polish Jews died during the Second World War II ?;;;;;;
168;;;What is the name of the famous Polish pianist who survived in the ghetto and who is represented in Roman Polanski's movie ?;;;;;;
169;;;What is the most fancy place is Warsaw ?;Plac Zbawiela;Rondo Onz;Plac ??;;;
170;;;Who is the prime minister (in 2021);;;;;;
171;;;How many theaters are there in Warsaw ?;;;;;;
172;;;How many cinemas are there in Warsaw ?;;;;;;
173;;;Which university is located the most in the south of Warsaw ?;SGH;Politeknica;University of Warsaw ;;;
174;;;How many airports are there in Warsaw ?;1;2;3;;;
175;;;How man percentage of the city of Warsaw was destroyed during the war ?;70%;80%;90%;;;
176;;;What is the percentage of Jews living in Warsaw ?;;;;;;
177;;;What is the percentage of Catholics living in Warsaw ?;;;;;;
178;;;What is the percentage of Catholics living in Poland ?;;;;;;
179;;;Where is the uprising museum in Warsaw ?;Wola;Rondo XX;Praga;;;
180;;;When did Poland enter the European Union ?;;;;;;
181;;;What is the most expensive vodka ?;;;;;;
182;;;Where did the movement Sromandic tool place ? ;Warsaw;Krakow;Gdansk;;;
183;;;How high is the palace of culture ?;;;;;;
184;;;Who offered the Palace of Culture to Warsaw ?;Churchill;Stalin;Hitler;;;
185;;;How much cost the hotdog at Zabka ?;;;;;;
186;;;What Zabka means ?;;;;;;
187;;;Frederic Chopin;;;;;;
188;;;Which brand of vodka sell vodka flavored with lemon and honey ?;;;;;;
189;;;How long is a Zapienki ?;10 cm;50cm;1m;;;